id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
fcf71,Mathematics,"If (0, 0) be the vertex and 3x – 4y + 2 = 0 be the directrix of a parabola, then the length of its latus rectum is :",0.0,0.0,0.0,0.0,0.0
5d5f3,Physics,"A square plate of edge d and a circular disc of diameter d are placed touching each other at the midpoint of an edge of the plate as shown in figure (9-Q2). Locate the centre of mass of the combination, assuming same mass per unit area for the two plates.

The image shows a square plate of edge 'd' and a circular disc of diameter 'd' placed such that they are touching each other. The point of contact is at the midpoint of one of the edges of the square plate.",0.0,0.0,0.0,0.0,0.0
be3c1,Physics,"Two particles A and B, each having a charge Q, are placed a distance d apart. Where should a particle of charge q be placed on the perpendicular bisector of AB so that it experiences maximum force? What is the magnitude of this maximum force?",0.0,0.0,0.0,0.0,0.0
be901,Physics,"Two friends A and B (each weighing 40 kg) are sitting on a frictionless platform some distance d apart. A rolls a ball of mass 4 kg on the platform towards B, which B catches. Then B rolls the ball towards A and A catches it. The ball keeps on moving back and forth between A and B. The ball has a fixed speed of 5 m/s on the platform.
The speed of A after he rolls the ball for the first time is :
The speed of A after he catches the ball for the first time is :
The speeds of A and B after the ball has made 4 round trips and is held by A are:",0.0,0.0,0.0,-1.0,0.0
69234,Chemistry,"CO, CH₄ व N₂ के 10 ml मिश्रण को ऑक्सीजन के आधिक्य के साथ अभिकृत किया गया और 6.5 ml का संकुचन हुआ। जब गैस को KOH के साथ उपचारित किया गया तो 7 ml का संकुचन फिर हुआ। मिश्रण में CO, CH₄ व N₂ आयतन की गणना करें?",0.0,0.0,0.0,0.0,0.0
695c9,Mathematics,"Calculate the following limits : lim x→1 ( 1/(1-x) - 3/(1-x^3) )

The image shows a limit problem. It involves finding the limit of the expression \(\frac{1}{1-x} - \frac{3}{1-x^3}\) as x approaches 1.",0.0,0.0,0.0,0.0,0.0
69c1f,Mathematics,"Three vectors $$\(\overrightarrow{P}\)$$, $$\(\overrightarrow{Q}\)$$  and $$\(\overrightarrow{R}\)$$ are shown in the figure. Let S be any point on the vector $$\(\overrightarrow{R}\)$$. The distance between the points P and S is b $$\(\big|\overrightarrow{R}\big|\)$$ . The general relation among vectors $$\(\overrightarrow{P}\)$$, $$\(\overrightarrow{Q}\)$$ and $$\(\overrightarrow{S}\)$$ is

The diagram shows a 2D Cartesian coordinate system with origin O and axes X (horizontal) and Y (vertical). Three vectors \(\overrightarrow{P}\), \(\overrightarrow{Q}\), and \(\overrightarrow{R}\) originate from O, with points P and Q at the tips of \(\overrightarrow{P}\) and \(\overrightarrow{Q}\) respectively. Vector \(\overrightarrow{R}\) is drawn from P to Q and is defined as \(\overrightarrow{R} = \overrightarrow{Q} - \overrightarrow{P}\). Point S lies on the vector \(\overrightarrow{R}\) between P and Q, and vector \(\overrightarrow{S}\) is drawn from O to S. The distance between points P and S is labeled as \(b \times \big|\overrightarrow{R}\big|\), where b is a scalar and \(\big|\overrightarrow{R}\big|\) is the magnitude of vector \(\overrightarrow{R}\). This setup visually represents the relationship among vectors \(\overrightarrow{P}\), \(\overrightarrow{Q}\), and \(\overrightarrow{S}\).",0.0,0.0,0.0,0.0,0.0
031a8,Physics,"एक समान आवेशित समाक्षीय वलयो के लिए दोनों वलय के केन्द्र के मध्य विभावन्तर ज्ञात कीजिए

The diagram shows two coaxial rings. The ring on the left has a radius R and a charge Q, centered at point A. The ring on the right has a radius 2R and a charge 2Q, centered at point B. The distance between the centers A and B of the two rings is 2R, as indicated by a line segment labeled '2R'. A dashed line connects the centers A and B of the two rings.",0.0,0.0,0.0,0.0,0.0
6a423,Physics,"Two friends A and B (each weighing 40 kg) are sitting on a frictionless platform some distance d apart. A rolls a ball of mass 4 kg on the platform towards B, which B catches. Then B rolls the ball towards A and A catches it. The ball keeps on moving back and forth between A and B. The ball has a fixed speed of 5 m/s on the platform.
The speed of A after he rolls the ball for the first time is :
The speed of A after he catches the ball for the first time is :
The speeds of A and B after the ball has made 4 round trips and is held by A are:",0.0,0.0,1.0,-1.0,0.0
6b739,Physics,"An infinitely long wire is kept along z-axis from z = − ∞ to z = + ∞, having uniform linear charge density \(\frac{10}{9}\) nC/m. Find the electric field \(\vec{E}\) at point (6 cm, 8 cm, 10 cm).

The diagram shows an infinitely long wire along the z-axis, extending from z = -∞ to z = +∞. The coordinate system is shown with the x, y, and z axes. The x-axis is horizontal, the y-axis is at an angle to the x-axis, and the z-axis is vertical, aligned with the wire. A point is marked on the x-axis at a distance of 6 cm from the origin.",0.0,0.0,0.0,0.0,0.0
6c477,Physics,"He⁺ आयन के लिए (E₂ - E₁) और (E₄ - E₃) का अनुपात लगभग किसके बराबर होता है। (यहाँ Eₙ, nᵗʰ कक्षा की ऊर्जा है।",0.0,0.0,0.0,0.0,0.0
03604,Mathematics,lim x→0 cos(xeˣ)-cos(xe⁻ˣ)/x³,0.0,0.0,0.0,1.0,0.0
6c929,Physics,"Initially system is at equilibrium, then find acceleration of each block just after cutting.

The diagram shows a system of two blocks suspended vertically. A 10 kg block is connected to a spring at the top and to a 20 kg block at the bottom via a string. The spring is attached to a fixed support at its other end. The entire system is in equilibrium.",0.0,0.0,0.0,0.0,0.0
6caaf,Mathematics,"माना f: R → A={y | 0 ≤ y < π/2} एक फलन है जहाँ f(x) = tan⁻¹(x² + x + k), (k एक अचर है)। यदि f एक आच्छादक फलन है तो k होगा :",0.0,0.0,0.0,0.0,0.0
039a4,Mathematics,"यदि A = $\begin{bmatrix} 1 & 1 & 1 \\ 0 & 1 & 1 \\ 0 & 0 & 1 \end{bmatrix}$ तथा M = A + A^2 + A^3 + ........+ A^{20} हैं, तो आव्यूह M के सभी अवयवों का योगफल बराबर हैं

The image shows a mathematical problem involving a 3x3 matrix A and a matrix M defined as the sum of powers of A from A to A^20. The matrix A is given as [[1, 1, 1], [0, 1, 1], [0, 0, 1]]. The problem asks to find the sum of all elements of matrix M.",0.0,0.0,0.0,0.0,0.0
6d113,Physics,"In the series LCR circuit as shown in figure, the voltmeter and ammeter readings are:

The image shows a series LCR circuit connected to an AC voltage source. The circuit consists of a resistor (R = 50Ω), an inductor (L), and a capacitor (C). The AC voltage source is labeled as 100V, 50Hz. A voltmeter is connected in parallel with the resistor, and two additional voltmeters are connected in series to measure the voltage across the inductor and capacitor, respectively. An ammeter is connected in series with the circuit to measure the current. The voltmeters across the inductor and capacitor both read 400V.",0.0,0.0,0.0,0.0,0.0
6da80,Mathematics,The image shows a definite integral expression. The integral symbol is present with limits from 0 to 1. The integrand is a fraction with 1 in the numerator and (1 + tan(x)) in the denominator. The differential element is dx.,0.0,0.0,0.0,0.0,0.0
61df3,Physics,"R त्रिज्या का गोलीय कोश, जिस पर एक समान वितरित आवेश q है, के केन्द्र पर बिन्दु आवेश q₀ है। गोलीय कोश की त्रिज्या धीरेधीरे R से 2R करने में वैद्युत बल द्वारा किये गये कार्य की गणना करो एवं बाह्य कारक द्वारा विद्युत बल के विरुद्ध किये कार्य की भी गणना करो।

The image describes a spherical shell of radius R with a uniformly distributed charge q. At the center of the shell, there is a point charge q₀. The radius of the spherical shell is gradually increased from R to 2R.",0.0,0.0,0.0,0.0,0.0
72f41,Mathematics,$\sin^5 A - \cos^5 A = (\sin^2 A - \cos^2 A)(1 - 2\sin^2 A \cos^2 A)$,0.0,0.0,0.0,0.0,0.0
73242,Mathematics,अवकल समीकरण dy/dx = (1+x)(1+y²) का हल है :,0.0,0.0,0.0,0.0,0.0
73347,Mathematics,"If repetitions are not permitted (i) How many 3 digit numbers can be formed from the six digits 2, 3, 5, 6, 7 & 9? (ii) How many of these are less than 400? (iii) How many are even ? (iv) How many are odd ? (v) How many are multiples of 5?",0.0,0.0,0.0,0.0,0.0
5fb68,Mathematics,"(i) Find the number of four letter word that can be formed from the letters of the word HISTORY. (each letter to be used at most once)
(ii) How many of them contain only consonants?
(iii) How many of them begin & end in a consonant?
(iv) How many of them begin with a vowel?
(v) How many contain the letters Y?
(vi) How many begin with T & end in a vowel?
(vii) How many begin with T & also contain S?
(viii) How many contain both vowels?",0.0,0.0,0.0,0.0,0.0
b7188,Physics,"In the relation; P = (α/β) * e^(αZ/kθ), P is pressure, Z is distance, k is Boltzmann constant and θ is the temperature. The dimensional formula of β will be:",0.0,0.0,0.0,0.0,0.0
b8a54,Physics,If a positive charge is shifted from a low potential region to high potential region. the electrical potential energy:,0.0,0.0,0.0,0.0,0.0
b9275,Mathematics,"Out of seven consonants and four vowels, the number of words of six letters, formed by taking four consonants and two vowels is (Assume that each ordered group of letter is a word):",0.0,0.0,0.0,0.0,0.0
ba1c8,Physics,"The x and y components of vector \(\vec{A}\) are 4m and 6m respectively. The x,y components of vector \(\vec{A+B}\) are 10m and 9m respectively. The length of \(\vec{B}\) and angle that \(\vec{B}\) makes with the x axis is:
Find a unit vector in the direction from point P (1, -1, 2) to point Q (-1, 1, 1)",0.0,0.0,0.0,0.0,0.0
ba27c,Chemistry,"ओक्सलिक अम्ल जिसके एक अण के साथ दो अण जल के जुड़े होते हैं, के 6.3 gm को 250 ml जल में मिलाकर जलीय विलयन बनाया गया। इस विलयन के 10ml के साथ 0.1N NaOH के कितना आयतन उदासीनीकरण के लिये चाहिये?",0.0,0.0,0.0,0.0,0.0
ba603,Physics,"A man is running on level road, rain drops are falling vertically. He feels rain drops are falling at angle 30° with vertical with speed 2 m/s, find out speed of man -",0.0,0.0,0.0,0.0,0.0
ba60b,Physics,Vector A points N-E and its magnitude is 3 kg ms⁻¹. It is multiplied by the scalar λ such that λ = 4 second. Find the direction and magnitude of the new vector quantity. Does it represent the same physical quantity or not?,0.0,0.0,0.0,0.0,0.0
ba7c5,Physics,"(i) Draw corresponding P-T and P-V graphs (ii) Find efficiency of this cyclic process.

The diagram shows a thermodynamic cycle on a T-V graph, where T is the temperature and V is the volume. The cycle consists of four processes: A to B, B to C, C to D, and D to A. The points A, B, C, and D represent the states of the system at different stages of the cycle. The temperature at points A and D is T₀, and at points B and C is 2T₀. The volume at points A and B is V₀, and at points C and D is 2V₀. The process A to B is an isochoric process (constant volume), B to C is an isothermal process (constant temperature), C to D is an isochoric process, and D to A is an isothermal process. The number of moles of gas is n, and the gas is monatomic.",0.0,0.0,0.0,0.0,0.0
bb3ac,Physics,A car travels for half of the time with 20km/h and for remaining half time with 30 km/h. Find average speed?,0.0,0.0,0.0,0.0,0.0
